id,first_name,last_name,party,state,type,website
D000629,Sharice,Davids,Democrat,KS,rep,https://davids.house.gov/media/press-releases
T000482,Lori,Trahan,Democrat,MA,rep,https://trahan.house.gov/news/documentquery.aspx?DocumentTypeID=27
P000617,Ayanna,Pressley,Democrat,MA,rep,https://pressley.house.gov/category/press-releases/
S001208,Elissa,Slotkin,Democrat,MI,sen,https://www.slotkin.senate.gov/media/press-releases/
S001215,Haley,Stevens,Democrat,MI,rep,https://stevens.house.gov/media/press-releases
T000481,Rashida,Tlaib,Democrat,MI,rep,https://tlaib.house.gov/resources/press
C001119,Angie,Craig,Democrat,MN,rep,https://craig.house.gov/media/press-releases
O000173,Ilhan,Omar,Democrat,MN,rep,https://omar.house.gov/media/press-releases
S001212,Pete,Stauber,Republican,MN,rep,https://stauber.house.gov/media/press-releases
G000591,Michael,Guest,Republican,MS,rep,https://guest.house.gov/media/press-releases
P000614,Chris,Pappas,Democrat,NH,rep,https://pappas.house.gov/media/press-releases
V000133,Jefferson,Van Drew,Republican,NJ,rep,https://vandrew.house.gov/news/documentquery.aspx?DocumentTypeID=27
K000394,Andy,Kim,Democrat,NJ,sen,https://vandrew.house.gov/news/documentquery.aspx?DocumentTypeID=27
S001207,Mikie,Sherrill,Democrat,NJ,rep,https://sherrill.house.gov/media/press-releases
L000590,Susie,Lee,Democrat,NV,rep,https://susielee.house.gov/media/press-releases
O000172,Alexandria,Ocasio-Cortez,Democrat,NY,rep,https://ocasio-cortez.house.gov/media/press-releases
D000631,Madeleine,Dean,Democrat,PA,rep,https://dean.house.gov/press-releases
H001085,Chrissy,Houlahan,Democrat,PA,rep,https://houlahan.house.gov/press/
M001204,Daniel,Meuser,Republican,PA,rep,https://meuser.house.gov/media/press-releases
J000302,John,Joyce,Republican,PA,rep,https://johnjoyce.house.gov/media/press-releases
R000610,Guy,Reschenthaler,Republican,PA,rep,https://reschenthaler.house.gov/media/press-releases
T000480,William,Timmons,Republican,SC,rep,https://timmons.house.gov/news/documentquery.aspx?DocumentTypeID=27
J000301,Dusty,Johnson,Republican,SD,rep,https://dustyjohnson.house.gov/media/press-releases
B001309,Tim,Burchett,Republican,TN,rep,https://burchett.house.gov/media/press-releases
R000612,John,Rose,Republican,TN,rep,https://johnrose.house.gov/media/press-releases
G000590,Mark,Green,Republican,TN,rep,https://markgreen.house.gov/press-releases
C001120,Dan,Crenshaw,Republican,TX,rep,https://crenshaw.house.gov/press-releases
G000589,Lance,Gooden,Republican,TX,rep,https://gooden.house.gov/press-releases
F000468,Lizzie,Fletcher,Democrat,TX,rep,https://fletcher.house.gov/news/documentquery.aspx?DocumentTypeID=27
E000299,Veronica,Escobar,Democrat,TX,rep,https://escobar.house.gov/news/documentquery.aspx?DocumentTypeID=27
R000614,Chip,Roy,Republican,TX,rep,https://roy.house.gov/media/press-releases
G000587,Sylvia,Garcia,Democrat,TX,rep,https://sylviagarcia.house.gov/media/press-releases
C001118,Ben,Cline,Republican,VA,rep,https://cline.house.gov/news/documentquery.aspx?DocumentTypeID=27
S001216,Kim,Schrier,Democrat,WA,rep,https://schrier.house.gov/media/press-releases
S001213,Bryan,Steil,Republican,WI,rep,https://steil.house.gov/media/press-releases
M001205,Carol,Miller,Republican,WV,rep,https://maxmiller.house.gov/press-releases
S001217,Rick,Scott,Republican,FL,sen,https://www.rickscott.senate.gov/newsroom
H001089,Joshua,Hawley,Republican,MO,sen,https://www.hawley.senate.gov/
G000592,Jared,Golden,Democrat,ME,rep,https://golden.house.gov/media/press-releases
